datId;scrapedSoftwareSystem
1;Atari 5200
2;Atari 7800
3;Jaguar
4;Lynx
5;WonderSwan Color
6;WonderSwan
7;Casio Loopy
9;Colecovision
10;Arcadia 2001
11;Adventurevision
12;Super Cassette Vision
13;Channel F
15;GP32
16;Vectrex
18;Odyssey^2
19;MSX
20;MSX
21;TurboGrafx-16
22;TurboGrafx-16
23;Famicom Disk System
24;Game Boy Advance
25;Game Boy Color
26;Game Boy
27;Nintendo 64
28;Nintendo 64DD
29;NES
31;Super Nintendo
32;Super Nintendo
33;Super Nintendo
34;Virtual Boy
36;RCA Studio II
37;Sega 32X
38;GameGear
39;Sega Master System
40;Genesis
42;SG-1000
43;NeoGeo Pocket Color
44;NeoGeo Pocket
45;PSP
46;Game.com
47;CreatiVision
48;SuperVision
