softwareId,softwareName,softwareType,systemId
1,Atari 5200,BIOS,1
2,5200 Menu,Game,1
3,A.E.,Game,1
4,"Activision Decathlon, The",Game,1
5,Asteroids,Game,1
6,Astro Chase,Game,1
7,Atari PAM - Pete's Test,Game,1
8,Atari PAM Diagnostics,Game,1
9,Atari PAM System Test,Game,1
10,Ballblazer,Game,1
11,Barroom Baseball,Game,1
12,Battlezone,Game,1
13,Beamrider,Game,1
14,BerZerk,Game,1
15,Black Belt,Game,1
16,Blaster,Game,1
17,Blue Print,Game,1
18,Boogie,Game,1
19,Bounty Bob Strikes Back!,Game,1
20,Buck Rogers - Planet of Zoom,Game,1
21,Carol Shaw's River Raid,Game,1
22,Castle Blast,Game,1
23,Castle Crisis,Game,1
24,Centipede,Game,1
25,Choplifter!,Game,1
26,Congo Bongo,Game,1
27,Countermeasure,Game,1
28,David Crane's Pitfall II - Lost Caverns,Game,1
29,Defender,Game,1
30,Dig Dug,Game,1
31,"Dreadnaught Factor, The",Game,1
32,Final Legacy,Game,1
33,Frisky Tom,Game,1
34,Frogger,Game,1
35,Frogger II - Threeedeep!,Game,1
36,Galaxian,Game,1
37,Gorf,Game,1
38,Gremlins,Game,1
39,Gyruss,Game,1
40,H.E.R.O.,Game,1
41,James Bond 007,Game,1
42,Joust,Game,1
43,Jr. Pac-Man,Game,1
44,Jungle Hunt,Game,1
45,K-Razy Shoot-Out,Game,1
46,Kaboom!,Game,1
47,Kangaroo,Game,1
48,Keystone Kapers,Game,1
49,Koffi - Yellow Kopter,Game,1
50,"Last Starfighter, The",Game,1
51,Looney Tunes Hotel,Game,1
52,Mario Bros.,Game,1
53,Meebzork,Game,1
54,MegaMania,Game,1
55,Meteorites,Game,1
56,Microgammon SB,Game,1
57,Millipede,Game,1
58,Miner 2049er Starring Bounty Bob,Game,1
59,Miniature Golf,Game,1
60,Missile Command,Game,1
61,Montezuma's Revenge featuring Panama Joe,Game,1
62,Moon Patrol,Game,1
63,Mountain King,Game,1
64,Mr. Do!'s Castle,Game,1
65,Ms. Pac-Man,Game,1
66,Pac-Man,Game,1
67,Pengo,Game,1
68,Pitfall!,Game,1
69,Pole Position,Game,1
70,Popeye,Game,1
71,Q-bert,Game,1
72,QIX,Game,1
73,Quest for Quintana Roo,Game,1
74,RealSports Baseball,Game,1
75,RealSports Basketball,Game,1
76,RealSports Football,Game,1
77,RealSports Soccer,Game,1
78,RealSports Tennis,Game,1
79,Rescue on Fractalus!,Game,1
80,Road Runner,Game,1
81,Robotron 2084,Game,1
82,Space Dungeon,Game,1
83,Space Invaders,Game,1
84,Space Shuttle - A Journey Into Space,Game,1
85,Spitfire,Game,1
86,Sport Goofy,Game,1
87,Star Raiders,Game,1
88,Star Trek - Strategic Operations Simulator,Game,1
89,Star Wars - Return of the Jedi - Death Star Battle,Game,1
90,Star Wars - The Arcade Game,Game,1
91,Stargate,Game,1
92,Super Breakout,Game,1
93,Super Cobra,Game,1
94,Super Pac-Man,Game,1
95,Tempest,Game,1
96,Track and Field,Game,1
97,Vanguard,Game,1
98,Wizard of Wor,Game,1
99,Xari Arena,Game,1
100,Xevious,Game,1
101,Yellow Submarine,Game,1
102,Zaxxon,Game,1
103,Zenji,Game,1
104,Zone Ranger,Game,1
105,Atari 7800,BIOS,2
106,Ace of Aces,Game,2
107,Alien Brigade,Game,2
108,Asteroids,Game,2
109,Ballblazer,Game,2
110,Barnyard Blaster,Game,2
111,Baseball,Game,2
112,Basketbrawl,Game,2
113,Centipede,Game,2
114,Choplifter!,Game,2
115,Commando,Game,2
116,Crack'ed,Game,2
117,Crossbow,Game,2
118,Dark Chambers,Game,2
119,Desert Falcon,Game,2
120,Dig Dug,Game,2
121,Donkey Kong,Game,2
122,Donkey Kong Junior,Game,2
123,Double Dragon,Game,2
124,F-18 Hornet,Game,2
125,Fatal Run,Game,2
126,Fight Night,Game,2
127,Food Fight,Game,2
128,Galaga,Game,2
129,Hat Trick,Game,2
130,Ikari Warriors,Game,2
131,Impossible Mission,Game,2
132,Jinks,Game,2
133,Joust,Game,2
134,Karateka,Game,2
135,Klax,Game,2
136,Kung-Fu Master,Game,2
137,Mario Bros.,Game,2
138,Mat Mania Challenge,Game,2
139,Mean 18 Ultimate Golf,Game,2
140,Meltdown,Game,2
141,Midnight Mutants,Game,2
142,Missing In Action,Game,2
143,Motor Psycho,Game,2
144,Ms. Pac-Man,Game,2
145,Ninja Golf,Game,2
146,One-on-One Basketball,Game,2
147,Pit Fighter,Game,2
148,Planet Smashers,Game,2
149,Plutos,Game,2
150,Pole Position II,Game,2
151,Rampage,Game,2
152,Rampart,Game,2
153,RealSports Baseball,Game,2
154,Rescue on Fractalus,Game,2
155,Robotron - 2084,Game,2
156,Scrapyard Dog,Game,2
157,Sentinel,Game,2
158,Sirius,Game,2
159,Summer Games,Game,2
160,Super Huey UH-IX,Game,2
161,Super Skateboardin',Game,2
162,Tank Command,Game,2
163,Title Match Pro Wrestling,Game,2
164,Tomcat - The F-14 Fighter Simulator,Game,2
165,Touchdown Football,Game,2
166,Tower Toppler,Game,2
167,Water Ski,Game,2
168,Winter Games,Game,2
169,Xenophobe,Game,2
170,Xevious,Game,2
171,Atari Jaguar,BIOS,3
172,Atari Jaguar CD,BIOS,3
